If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Sobre o Hipsters Ponto Tech,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Building a Facebook Chat Bot with Node and Heroku,Building immutable entities into Google Cloud Datastore,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Usando o git add interativo
Platform Overview,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE","Tenho várias ideias de negócios, qual devo levar adiante?",You're Asking Too Much of Chat Bots. Just Let Them Grow Up,World's Fastest Growing Open Source Platform Pushes Out New Release
The Joel Test: 12 Steps to Better Code,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional
11 incredible ways UK businesses are using chatbots,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,"Telecoms open shop on Madison Avenue, but will brands buy?",You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Building AI Is Hard-So Facebook Is Building AI That Builds AI,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source
Festival de Fotografia Hercule Florence - Timeline | Facebook,Sete Reinos,O machismo também mora nos detalhes - Think Olga,Best of CES 2017: The Show's 10 Coolest Designs,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,What exactly is a design culture? 
Ciclistas relatam roubos com agressividade na avenida dos Andradas,How it feels to learn Javascript in 2016,Visual Studio Code Now Supports Debugging of iOS Web Apps,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
How This Googler Redesigned The Workweek,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing","Secret's founder returns with Bold, a Medium for enterprise",Twitter adds a button to help you train its algorithm
Sete Reinos,O machismo também mora nos detalhes - Think Olga,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,What exactly is a design culture? ,Goodbye accountants! Startup builds AI to automate all your accounting,Black Mirror (TV Series 2011- )
"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,How Green Was My Valley (1941),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
A new look for Google Play family of apps,"Facebook details its company-wide machine learning platform, FBLearner Flow","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",Usability Heuristics for Bots - Chatbots Magazine,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,Building more accessible technology
Simples assim,The Genderbread Person v3 | It's Pronounced Metrosexual,Introducing Ask a Female Engineer,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,Savage Love Letter of the Day: Get Out There and Fight
"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",HHVM vs PHP 7 - The Competition Gets Closer - Kinsta,Announcing updates to Google's Internet of Things platform: Android Things and Weave,AWS Certified Solutions Architect Professional – Study Guide – Domain 3.0: Deployment Management (10%),Still a virtual reality skeptic? Here's why you shouldn't be,Tasting Dagger 2 on Android
Conheça a patente do Google que prevê entregas por drones - Startupi,Indian outsourcing specialists must reboot their strategies,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,"Google's AI engine is reading 2,865 romance novels to be more conversational",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
Empresa desenvolve primeira variedade de cana geneticamente modificada,"Ciesp-Campinas e Lean Institute Brasil fazem evento gratuito sobre ""lean para superar a crise"" em Campinas",Qual o estágio de transformação digital das empresas? Líderes de TI compartilham experiências,Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem,Hackathon - Portal Embrapa,Brazilian Government and Ericsson to innovate together for Internet of Things
The End Of Apps As We Know Them - Inside Intercom,An overview of web service solutions in Drupal 8,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Google Cloud Datastore gets faster cross-platform API,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Confused by blockchains? Revolution vs Evolution
Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,The Language of Beauty Ads,#iLookLikeAnEngineer: One Year Later,Mulheres são mais criativas que homens?,"Episódio de ""Meninas Superpoderosas"" apresenta pônei trans"
Using Microservices Architecture as API Enablement Strategy,Arquitetura de Microserviços habilitando APIs - Sensedia,15 minutos sobre Docker,The Best Linux Distros of 2016,Hype Driven Development,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry
The 100 (TV Series 2014- ),The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Infrequently Noted
Migrating to the New Java 8 Date Time API | Baeldung,Building Spring Cloud Microservices That Strangle Legacy Systems,Taking Microservices Home - NGINX,Practical VPC Design - AWS Startup Collection,Reactive log stream processing with RxJava - Part I,Learn Microservices in Java - DZone - Refcardz
"Don't Start Big, Start a Little Snowball",Falling for Web Components,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",Artificial intelligence is hard to see
The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Google's Cloud Machine Learning service is now in public beta,Exclusive: Why Microsoft is betting its future on AI,Graph-powered Machine Learning at Google,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
CMN regulamenta abertura de conta de depósito por meio eletrônico,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Blockchain Will Be Used By 15% of Big Banks By 2017,Mobile banking conquista o coração dos brasileiros,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
Top 5 GCP NEXT breakout sessions on YouTube (so far),Lady Gaga's startup Backplane burns out and sells assets,Evernote anuncia integração com Google Drive | Google Discovery,We spent a week making Trello boards load extremely fast. Here's how we did it.,Segment helps businesses integrate third-party sources into their data pipelines,"[Tools] Personal Kanban in ""Favro"""
"Google launches Duo video calling app, a dull cross-OS FaceTime rival",The AI business landscape,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Teaching machines to predict the future,From Google to the world: the Kubernetes origin story,Text summarization with TensorFlow
Seguradores serão mentores de start-ups selecionadas pela aceleradora da Accenture | Sonho Seguro,Itaú vende carteira de vida para Prudential | Sonho Seguro,Making digital strategy a reality in insurance,CNseg anuncia os finalistas da 6ª edição do Prêmio de Inovação em Seguros - Sonho Seguro,"SulAmérica continua investindo, apesar da crise - Sonho Seguro","Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider"
Digital is all about the people - Chris Skinner's blog,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Infographic Dutch Fintech Scene - HollandFintech.com,Taco Bell chega ao Brasil no segundo semestre desse ano,Time Pressure: Behavioral Science Considerations for Mobile Marketing
The compelling case to replace a 40-year old core system - Chris Skinner's blog,Digital Consumers Forced to Open Accounts in Branches,The cynical bankers' trick: show me the money - Chris Skinner's blog,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016,Where is the bank's digital vision? - Chris Skinner's blog
Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Former NASA chief unveils $100 million neural chip maker KnuEdge,Million Song Dataset | scaling MIR research,Google is quietly making progress on one of its most jaw-dropping tech projects,"Every shot Kobe Bryant ever took. All 30,699 of them"
"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online","Heroína, nazistas e agente laranja: por dentro da fusão do ano",Bayer anuncia compra da Monsanto por US$ 66 bilhões,'Robô-rancheiro' conseguirá cuidar sozinho de fazendas de gado,Largest IoT Event Kicks Off at Santa Clara Convention Center,Empresas intensificam operações de barter diante da dificuldade de crédito
Programação Reativa Funcional com RxJava,"Revista MundoLogística - Sistema desenvolvido por estudante do CTC/PUC-RIO gera economia de US$ 10 milhões, no transporte marítimo",Soylent's new drink will replace your breakfast and morning coffee,"Incrível, Skype se lembrou que o Linux existe!",StrictMode for Runtime Analysis on Android - Google Developers,"ConstraintLayout, Inside and Out: Part 1"
ConstraintLayout - Part 1,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Readable Content Guides,Post: Just Say mNo to Hungarian Notation,Optimizing the Performance of Vector Drawables - upday devs
Comercial japonês cria cidade de papel com caneta que conduz eletricidade,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",Onde a tecnologia e o cuidado se encontram? - Saúde Business,The future is the trust economy,One Dollar Board: Um projeto brasileiro para revolucionar a educação,[Framework] Lean IT Governance
Governo busca empresas para aprimorar Internet das Coisas no Brasil,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2",[Teste] Quer saber como está seu português? - Runrun.it Blog
Inteligência artificial do Google é capaz de descrever imagens | Google Discovery,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Artificial Intelligence Software Is Booming. But Why Now?,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,One Dollar Board: Um projeto brasileiro para revolucionar a educação,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship
These Are The 10 Most Purchased Brands in the World,You can now use MyCokeRewards with Apple Pay (and score a free Coke),How Coca-Cola Is Harvesting Innovation Energy From Startups,So you want to sell to banks?,Ray Kurzweil: The world isn't getting worse - our information is getting better,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net"
My favorite people and resources to learn Android programming from,Optimizing the Performance of Vector Drawables - upday devs,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),Advanced Android Espresso
Cia. Hering sincroniza diferentes marcas em um único portal de compras,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Por que o Walmart não é Walmart no Brasil,Comprar roupas está ficando fora de moda no Reino Unido,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Why Introverts Are Better at Sales Than Extroverts
"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Swift Top 10 Articles For The Past Year (v.2017),Migrating from Parse to Bluemix,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,"contentId
8416004328454490172    Real World Swift Performance
8416004328454490172    Real World Swift Performance
Name: title, dtype: object"
Ozlo The AI Chatbot Wants To Help You Find Coffee And Food,"Chatbots Are Your Newest, Dumbest Co-Workers",Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot,How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,The new tech talent you need to succeed in digital,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Visa lança desafio para startups de tecnologia - Startupi,IBM makes a big shift into cognitive computing,"contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object"
Especialista explica como semente artificial de cana aumenta produtividade,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Rede Agricultura de Precisão II,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,big data = real time,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões
"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents",A digital crack in banking's business model,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,What it Means to Be a 'Growth Hacker' According to Julie Zhou,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE"
Google's new translation software is almost as good as human translators,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs
"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Making open source data more available,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space
"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,Top 5 Android Testing Frameworks with Examples,"Google tests a more personalized version of its virtual assistant, Google Now",O seu conteúdo está preparado para as duas internets?
[Bonito] Flutuações em Bonito: escolha a sua!,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Lady Gaga's startup Backplane burns out and sells assets,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Top 5 GCP NEXT breakout sessions on YouTube (so far)
Touch (TV Series 2012-2013),8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,From fine wine to lotteries: Blockchain tech takes off - BBC News,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
Angular 2 versus React: There Will Be Blood - Free Code Camp,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,An Overly Thorough Guide To Underused Android Libraries,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing
Extreme Style Machines:Using Random Neural Networks to Generate Textures,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Amazon founder: A.I.'s impact is,"Meet Articoolo, the robot writer with content for brains",A Neural Network that Dreams in Resumes - untapt blog,Wide & Deep Learning: Better Together with TensorFlow
Chromebase for meetings makes video-conferencing personal and simple,Google is quietly making progress on one of its most jaw-dropping tech projects,Million Song Dataset | scaling MIR research,Apple and Google Are Teaming Up to Kill Robocalls Forever,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence
FH fecha contrato de OEM com SAP para entrega de soluções de e-commerce,O IPO é a saída para a Netshoes?,Citroën lança e-commerce de carros,Unilever cria e-commerce para lojas de bairro | EXAME.com,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce,71 erros de vocabulário e pronúncia em inglês que você faz
"Facebook ditches Bing, 800M users now see its own AI text translations",Blaise Agüera y Arcas: How computers are learning to be creative,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,America's allies are preparing for a bumpy ride,[Books] Biblioteca FIXE: Sugestões de Leitura,Startup uses deep learning to let you shop for items by snapping photos
Docker 1.12: Now with Built-in Orchestration!,Why Is Learning Drupal Hard?,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Creating a scalable API with microservices
Here's proof that Google is getting serious about battling Facebook in a key area,Machine Learning for Designers,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar
Facebook testa dividir conteúdos da rede por temas,"Carros de luxo em alta, mas o alerta está aceso",Practical End-to-End Testing with Protractor,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'"
"How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History",Kubernetes,Practical End-to-End Testing with Protractor,Facebook at Work pushed to 'later this year',Eclipse Foundation Releases Neon,Aggregations
Usando o git add interativo,Aurelia 1.0 is Here!!!,Descubra os 10 apps mais importantes para o brasileiro,Java 9 Early Access: A Hands-on Session with JShell - The Java REPL | Takipi Blog,Sobre o Hipsters Ponto Tech,Listas com RecyclerView - Android Dev BR
Inteligência artificial do Google aprende a aprimorar fotos como nos filmes | Google Discovery,Research from VLDB 2016: Improved Friend Suggestion using Ego-Net Analysis,Introducing the Open Images Dataset,Pixelated photos and licence plates can be unblurred using artificial intelligence,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Salesforce adds some artificial intelligence to customer service products
Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",The Genderbread Person v3 | It's Pronounced Metrosexual,Savage Love Letter of the Day: Get Out There and Fight,Netflix emociona com vídeo destacando personagens LGBT,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
Announcing updates to Google's Internet of Things platform: Android Things and Weave,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Achievement Unlocked : AWS Certified Solutions Architect Professional
Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,The future of the shopping mall,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",TI Bimodal? Receita para o desastre...,Saying �� to Allo and Duo: new apps for smart messaging and video calling,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
Introducing the Open Images Dataset,Kubernetes,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,Eclipse Foundation Releases Neon,Mimo baby monitor helps parents get more sleep,Hiri wants to fix the workplace email problem
Learning at the speed of business,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Apple is working on an AI system that wipes the floor with Google and everyone else,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space
Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,[Retro] Celebration Grids - Management 3.0,Google now uses machine learning to make reading comics on phones easier,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"National Coming Out Day - Wikipedia, the free encyclopedia",The new 64-bit Orange Pi is a quad-core computer for $20
Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,How Mature is Your Organization when it Comes to UX?,35 Innovative and Inspirational Website Designs in Banking,Críticas de design: dizendo as coisas que precisam ser ditas
Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Coder | Drupal.org,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Acquia Engage 2016: Day One,Release Day: Extend Drupal 8 with Plugins,Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país
"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Wide & Deep Learning: Better Together with TensorFlow,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,5 reasons your employees aren't sharing their knowledge
How Etsy Does Continuous Integration for Mobile Apps,The Continuous Delivery Maturity Model,"Docker - Build, Ship, and Run Any App, Anywhere",Using Honcho to Create a Multi-Process Docker Container,"DevOps security requires new mindset and tools for visibility, automation",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO
É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,Taco Bell chega ao Brasil no segundo semestre desse ano,3 Pillars of the Most Successful Tech Products,How Etsy Does Continuous Integration for Mobile Apps,Startup uses deep learning to let you shop for items by snapping photos,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016
Arquitetura de Microserviços habilitando APIs - Sensedia,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,15 minutos sobre Docker,How to build cross-platform mobile apps using nothing more than a JSON markup,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
Why your wallet is becoming the next platform,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Number26 raises another $40 million for its vision for the future of banking,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Banking Needs a Customer Experience Wake-Up Call,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
O seu conteúdo está preparado para as duas internets?,TEDxSãoPaulo,Game Of Thrones e suas lições de liderança | Endeavor Brasil,Ordering coffee in Italy: the 10 commandments,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
Plano nacional de ''internet das coisas'' sai em fevereiro,Saying �� to Allo and Duo: new apps for smart messaging and video calling,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/","Little girls doubt that women can be brilliant, study shows",Brazilian Government and Ericsson to innovate together for Internet of Things
Google Cloud Datastore gets faster cross-platform API,An overview of web service solutions in Drupal 8,Machine Learning for Designers,"Thunder, a Drupal distribution for publishers",Google's official Project Wing logo revealed,"Google I/O: Expect A.I., virtual reality"
[Books] Biblioteca FIXE: Sugestões de Leitura,[Videos] Bill Gross: The single biggest reason why startups succeed,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",O RH chega ao board
Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,State of Drupal 2016 survey | Dries Buytaert,Meet Aquifer: A build system for easier Drupal development,Dries Buytaert,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia
Everything you need to know about the big changes coming to Newark airport,"A sneak peek at Google's upcoming travel app, Trips",Manhattan CRE prices spark a mass exodus of startups to Brooklyn,"Google's head of advertising talks ad blocking, mobile and micropayments",How to Get a Job at Google,"Google CEO: Mobile will fade, AI will rise"
Cross-channel user experiences with Drupal,An overview of web service solutions in Drupal 8,Unilever Buys Dollar Shave Club for $1 Billion,8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Twitter adds a button to help you train its algorithm
Financial services firm processes 25 billion stock market events per hour with Google Cloud Bigtable,Google researchers teach AIs to see the important parts of images - and tell you about them,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Is About to Supercharge Its TensorFlow Open Source AI,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
Amazon now has a programmable Dash Button for the IoT,This is the scientific reason we're addicted to our phones,Adobe CQ/Adobe AEM,Adobe quer potencializar área de marketing digital - Meio & Mensagem,Webinar Salesforce - Best Practices for Advanced Lightning Apps,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects
"Digital manufacturing could eliminate warehouses, create on-demand production",Startup uses deep learning to let you shop for items by snapping photos,Taco Bell chega ao Brasil no segundo semestre desse ano,3 Pillars of the Most Successful Tech Products,Top 10 Hot Artificial Intelligence (AI) Technologies,Hero unveils a new home gadget to help you track and dispense pills
An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,DeepMind moves to TensorFlow,8 things to expect from Google's biggest event of the year,The AI business landscape,Google's official Project Wing logo revealed,Restb.ai: Why custom computer vision as a service makes sense | ZDNet
The new 64-bit Orange Pi is a quad-core computer for $20,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"New functional programming language can generate C, Python code for apps",Chrome OS now has Material Design for the desktop,Hintjens.com,Google now uses machine learning to make reading comics on phones easier
Adobe CQ/Adobe AEM,This is the scientific reason we're addicted to our phones,Adobe quer potencializar área de marketing digital - Meio & Mensagem,Webinar Salesforce - Best Practices for Advanced Lightning Apps,Assessing Salesforce's platform and ecosystem | ZDNet,How bot-to-bot could soon replace APIs
Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",12 JavaScript Hacks,15 Interesting JavaScript and CSS Libraries for September 2016,O homofóbico dentro de cada um,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Good developers take breaks * Greetings Programs,Bash on Ubuntu on Windows - Download Now!,The Genderbread Person v3 | It's Pronounced Metrosexual
"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Making open source data more available,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",TechCrunch launches a personalized news recommendations bot on Facebook Messenger
My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership
